fund,date,nav,reinvest_nav,net_asset_value
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2021-02-03,11439,11439,176.02
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2021-02-04,11426,11426,176.37
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2021-02-05,11439,11439,177.22
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2021-02-08,11459,11459,178.15
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2021-02-09,11437,11437,178.14
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2021-02-10,11409,11409,178.37
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2021-02-12,11433,11433,178.92
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2021-02-15,11444,11444,179.89
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2021-02-16,11471,11471,180.96
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2021-02-17,11471,11471,180.97
